url,title,img
"https://exa-618-phi.vercel.app","Disney Carvalho Andrade Filho","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRInukqx5QHgkCUaO6cruDYJXWIejFiz4FRMg&s"
"https://exa-618-iota.vercel.app","Gabriel Costa Baptista","https://exa-618-iota.vercel.app/Keyboard_cat.jpg"
"https://redes1-eta.vercel.app/atividade1","Israel Oliveira - EXA618","https://redes1-eta.vercel.app/atividade1/Brasão_da_UEFS.png"
"https://argalvaoexa618.vercel.app/EXA618/atividade01","Abel Ramalho Galvão","https://argalvaoexa618.vercel.app/EXA618/pc-quebrado.jpg"
"https://exa-618-rose.vercel.app/atividade1","AlexJr","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkTz__qPalP0RDr-Sj8CPnyWADUA5rYeInNw&s"
"https://exa-618-beta.vercel.app/atividade1/index.html","Alexandre Caribé","https://exa-618-beta.vercel.app/atividade1/Pikachu.png"
"https://exa-618-ten.vercel.app","Alexsami Lopes","https://exa-618-ten.vercel.app/background.jpg"
"https://exa-618-p8p2.vercel.app/atividade_1","André Vinícius","https://exa-618-p8p2.vercel.app/quarta_feira.jpg"
"https://exa-618-p8p2.vercel.app/atividade_1","André Vinícius","https://exa-618-p8p2.vercel.app/quinta_feira.jpg"
"https://exa-618-p8p2.vercel.app/atividade_1","André Vinícius","https://exa-618-p8p2.vercel.app/segunda_feira.jpg"
"https://exa-618-atividade-1.vercel.app/EXA618/atividade1","Armando","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBwgHBgkIBwgKCgkLDRYPDQwMDRsUFRAWIB0iIiAdHx8kKDQsJCYxJx8fLT0tMTU3Ojo6Iys/RD84QzQ5OjcBCgoKDQwNGg8PGjclHyU3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3N//AABEIAI8BAwMBIgACEQEDEQH/xAAbAAABBQEBAAAAAAAAAAAAAAAAAQIDBAUGB//EAD0QAAEDAwIDBgIIBAUFAAAAAAEAAgMEERIFIRMxUQYiMkFhcXKhFCMkMzRCUpE1gcHRBxUlQ2IWkqKx8f/EABoBAQEBAQEBAQAAAAAAAAAAAAABAgMEBQb/xAAiEQEAAwEAAAcAAwAAAAAAAAAAAQIRAwQSEyExQVEUImH/2gAMAwEAAhEDEQA/APP9JP8AptN8P9VbuqelH/Tab4VbQLdCRF0CoSXRdA5CS6W6BLoukuEIFui6EIFQCkJSBA5CbdKUClImvdiqzqxjOZ+ami3ZKqzK6J2211YBybcKgukJQUiBbpEIugEJLougCUiLoRkIQkuilQkui6DktW/iM/xJUmrfxGf4kIrpdK/hsHwhW1S0v8BB8IVsFA5CbdF0DkJt0XQOSlMulugVCahA5CahA5Cai6BwQm3QXIGyAuDrbEcr7rMbpepV0zo6SnfIf+LSR/VdRoumfT5i/m1vMLUOsUME50+lixqG3BduuN+kROOtOczGuEdo+o0kzfpML4998gf62WtF3WbrerdTpKZh/wAzYXyS7N25eqyaqm4bRIw2a7cAqVvEpeuK6aglJdd3MqEiS6JpyE26CUNOQm5IyRCpE26LoHITbouiuV1b+Iz/ABIRqf4+f4kqK6DTHfYIPhCs5Klpx+wQfCpy9BNkluoMkuSCUu9UByiDkZIJs0ZqHJGSCbNGaiyCMgglzRmosgjIIJc0ZqLIJMkE5ckBGajDkZb3QdXpFQyibkD4gLq1JDRMlNXFG10rtySuVjqyA1pPJbUM7zG3hMc8nluF4ese+vbxtHlWquSOvkL6qEWHhFll1TmOBZtZqSsnqAHCRpY7oeazJKjvOFys84mZY6zBrym5JjnHqkyC98fDyTKTJIXKPNBcFUPyS5BRZJMggmyCMgocglyCkh90XUeaTL1QS3RkFFkjJVXO6mft8/xISaj+Om+JCK2KF32OL4VPkqVG77NH7KbNBYD0uarZpeIEFjNGar8QI4gQWM0ZqvxAjiBBYzRmoM0ZoJ80ZqDNGaCfNGSgzRmgnzQXqDNLe+9rj3RErHd+7uS6nTZQyk4o3cAsHSNPk1Ksa0i0I8bybALr36M/htl09rjEw2ed915fEPVwrsezN1KR8sT3Y5EAnJc1K7e/5l1uownF1nYuI7wXIVpdA/F4BJPIALnxnTrUmZ6pMlEX2f3tk3Ne55E+SMlXzRmgsZIyVfNGaCxmkyUGaTNBYyRmq+Z6ozQT5ozUGaM0Vk1x+1y/EkSVZvUye6EVdp32hZ7KTNQU/wByz2UiuB+aM1GkUwS5ozUSS6Mps0ZqG6XJF1LxPVAk9VCHIuiJuJ6o4nqoskhcjSbieqBIoMk1z7ILXETg8F3eBAPkSqnEGbVPRgz1sMTQSXOAUtORqez0nsb2dNXpDpZZDHmcmsa47LotOpq3SG4iz4PNpuf6K7o0H0ajhp+6A1jRf+S0ZpbjE+HpZfne/irTd2jr6cezndboY52NqIWWJ8Q5WXCdpKPGMvaBdt16LNL3nxgdwb79Fy+rRMfFJG+xa69rLpx7zEuV+3mebySuJN9yEokUdW0xVL43EgA7DqoOIvuUnYRbzScQKrxPVHEWxa4gRxAqvERxERa4gRxAqvERxEFriBHECq8RHEQWuIEZqrxEcRFVak/Xv90qbIbyOuhFXqf7lnspE2mH1LPZS2W4EaWydj6JbJMJKMhJipbIsmIixSFqmSWTDUWKXFS2RZMNRYpC1TWRZPLKqxYmlhVnFLZo5hZxVQRFavZxwj1mndJ4WvVU49E6J3DlD49nBZtWZT7exRak3kBcHoU6avkLOdgvNaDXKvZuWw88VeHaeduQJ39l8jp4CZtsOtqbGuwlrJXMuTceizKp4xvcA+q5+btJPK7BrgSRdZNXrFbJKWuf/wCK3z8FaJcp5b8s/tBI3/NZS0Dn/ZZt8uSuVDDK4ySd5zuZKiETf0r6dazEEfCvct5lOupjEOhTHRDoVsky6Lp3D90nDKYhLoukcwpMSoHXTST1RiUWQLkjJJZCNGO8RQkdzKEGnTfcx+ykUdN9zH7KRbhAjdCUKoTdG6ci2XJAhQFNDTPm5BX6fRZpeey1FdRlItfw7rqoOzTPzkrRh0Omj/27+66RxtI4YRvd4WlStoql3+279l6DHQUsOwiF/ZTNhjHID9l0jw6vPmaTVu8MZ/mpmaHWu8TQu8xS2PK2/ur6BriD2crhzaz9z/ZA7N1v6Y/3P9l3RB5XCLeVxf3T+PErriGaRPTbyAW5bFJJ2dqic2tu0rqdVawUnEy3BvzUtBVCopA5oG1huuc84icdd/q45mkVVK5skjW2uo6jTKl0pe2Lxbi66WvqhNO2mytY9VrRljYYxluAp6ddZtafI89dpdUOcXzUDqOcc47L0ghh5/tdI6GM+INPvZa9CP1yiXmXCf5tI9010ZHiBC9Hk06nk5xtVOfQ6Z/KNLcJ+l1wRYm8NddP2b8WCy6jRZYuRBXK3KxrDdGmOj9FffTPj8aiewN53XOazAp8NNMatYpC1ZxVXhlMxKtkJmPopiqT/EUJZvvXe6EGnTfhmeylUdKPszPZS2W4QMa0vaL2Bt6rfn7J14joXU8b5Ppj8I+5YEn/AOrGoJhSV8FQWF4ikD8eq9G1H/EnTdTihFVo9deF+cbm1gaWu23Hd25BJlHK9o+ys+gVcVI/izyFoD34WbmfJvXy3smaboVRMT9me/EgOsBsedl2NJ2vh1+ek0yngnhH0kSmatq8w0CxP5R0Vt/anTKTWKs6dRVr7TAukhrg2N7rDcDE7bdUi0jm6OjjjhEzXwGLLF1n3e09CLW+fmtVsbYiAWYk+EHm7zutQ9pKOXjn/p6dwmlEr/tg8Qt/x9Aq2vdoK3VWQ2pHQRwOL+/NmfCdhsF6OdrfiYrsyc8ta0vLfEG+SQvBhM7b8Ic3W2C2na6zQGP0+hoJ5pDEJHyGcNBc5g5i3IXVqj1anj7IOOrxwcMx2bFHWbyEu5Y47H1uVq3a31C45nitOWO/L5i4+RSte1wOLSDlj6A87LXj7TU0cWTez8zhZm/0v9LQ1v5fRU3VBl0Zr53wtnrK0ythjkyLG2dzSva+5MCpunbIslsvUhErX5P7vlzuiyLDorg5TtbS6pUyYUcT3RWvZixafT9VpI8XNmYOl16NfHut29QgFvhsbHzXC3GJnViXktVFOZrEOv7qzTlzIbFzr+hK9Mwyf3hf3RPTMkjxawArl/H/ANXze2PPHVE9h33WA6qOOsqcvq5nN9AV1ruzzs3EOaAeqlpNDjgdd8UZ9cFY42/WZYVE7V5C3gulI23XU6eZxHapddyswNkiGAsQpHd43dzXetMj5DE18TZPEpAkctwMmr05j2HmsGs05oysF10pPosirw7y49KxKOSmpzGoHBa9c1qzJAvJaMVDj6JmKmskWMaZc/3rvdCKr8Q/3SrKtGl/DR+ymUNL+GZ7KZahAi6AnMYHv52uVZhGjpumalXU81RR0M88Ed+JJGwkNtzv0WvRafqUVNHUvoZ46SRwaJ3M7lybXv7rq9X7ZUXZYVHZrTdKmeaZrWNmfM2zi9gJJFh+r5LerdUbQ9hGVut6VxYwIuHFFOO/3wQeW26m4OTkoKyDUqihhjnqjTtaXPhhJG7Q63n1T6IT1rjFT0s8zm7PZGwkt8t+iSf/ABL0uWCqjZoVVEak3eWVDdyGhvT0CwOzvaSm0uumqp6Koma43jZHM1uO/ncf+l1jrYdHR0Z+ufS0kpax31xY2+BH6j5JYNOfUtNVT0U0zRs6VkeQ/mVI3/E2jY976XRHtMjs33mHeNseiiou2um0khqKbRKpji7ItFUzEn/tV9a34GcB9OaGYvDjUNkJBbYjF5FufonmJmee2X6ln1WuHUZ4JHQGFsTpXWuD43l3yup21rD5fJdudt+RbsgKu2pb6qRszehXfYRKhR8VvqjiN9VrYEiEzMeqQvHqpMwJEYjqoeO3oUcdvQp7CYJDvz2UJqGN6qN9aOiz5oMWBfqU4lp5lZz9RaOQ+Sqy6m0cif2U88DYMjW+agmqWt/MFhSaoepVCfUXu8ysW64NuorG/qKyKqtHeWbJVud1UD5C/mSuFukyYkqJuJ5qqSU4ppXKVwFNSkpFFZdV+Ik90qSq/ESe6VYV/9k="
"https://exa618-ten.vercel.app/atividade1","Bruno Campos de Oliveira Rocha","https://s2-techtudo.glbimg.com/i4jNhBagulJ4thbenqjE8vilIaI=/0x0:2048x1365/888x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_08fbf48bc0524877943fe86e43087e7a/internal_photos/bs/2018/M/3/3VJ5Z1QQCPkCfecePJKw/eslwinners.jpg"
"https://exa-618-one.vercel.app/EXA618/atividade1/","Carlos Arthur","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPQza--_S4Bd4RIRHdI9JMNYfxJ26cnx8eyQ&s"
"https://exa-618-eight.vercel.app/","Emanuel Antonio Lima Pereira","https://exa-618-eight.vercel.app/img.jpg"
"https://exa-618-pink.vercel.app","Émerson Rodrigo Lima Pereira","https://exa-618-pink.vercel.app/image.png"
"https://redes1-eta.vercel.app/atividade1","Israel Oliveira - EXA618","https://redes1-eta.vercel.app/atividade1/Brasão_da_UEFS.png"
"https://exa-618-rho.vercel.app/atividade1/index.html","José Victor","https://yt3.googleusercontent.com/QQr7iUOVTkxb_Vo8mnj3s9LezZ-AeYg5qoB_-2YnoAQVAUJQjs-okQPDUw017mJtYb508ji9NA=s160-c-k-c0x00ffffff-no-rj"
"https://exa-618-xms.vercel.app/atividade1","Lucas de Paiva","https://thispersondoesnotexist.com/"
"https://exa-618-62ar.vercel.app","Lucas Lima Rodrigues","https://exa-618-62ar.vercel.app/imagem/imagem.jpg"
"https://exa-618-tawny.vercel.app/atividade1","Mateus Antony","https://papodefutebol.com.br/wp-content/uploads/2024/12/Esporte-Clube-Bahia-1024x683.jpg"
"https://exa618-topaz.vercel.app/atividade1","Nirvan Yang","https://exa618-topaz.vercel.app/have-you-seen-this-cat.jpg"
"https://exa618.vercel.app/EXA618/atividade1","EXA618 | PROJETO SARA S. FERREIRA","https://img.freepik.com/fotos-gratis/besta-de-dragao-mitico-em-estilo-anime_23-2151112835.jpg?semt=ais_hybrid&w=740&q=80"
"https://exa-618-alpha.vercel.app","Thiago Ramon Santos de Jesus","https://i.pinimg.com/736x/29/d1/a7/29d1a77d72982d1f76969b3740fe3c6e.jpg"
